,Status,Class,Type,Full Baths,HBA,Beds,Apx SQFT,Apx ACR,Sale Year,Sale Price,TotalBaths,PPSF,BathsPerBed,SqftPerAcre,BedsPerSqft
148,Sold,Residential,Rural Residential,2.0,0.0,3.0,1425.0,3.43,2019,160595.703,2.0,112.69873894736843,0.6666666666666666,414.24418604651163,0.002105248384221865
149,Sold,Residential,Rural Residential,1.0,0.0,2.0,1236.0,0.51,2024,131645.57,1.0,106.50936084142396,0.5,2376.9230769230767,0.0016181098858423476
150,Sold,Residential,Rural Residential,2.0,0.0,2.0,1200.0,2.7,2021,154105.166,2.0,128.42097166666667,1.0,442.8044280442804,0.0016666527778935176
151,Sold,Residential,Rural Residential,2.0,0.0,3.0,1522.0,0.52,2017,171122.449,2.0,112.4326208935611,0.6666666666666666,2871.698113207547,0.0019710777195944837
152,Sold,Residential,Rural Residential,2.0,1.0,4.0,3097.0,0.57,2019,163769.531,2.5,52.880055214723924,0.625,5339.6551724137935,0.0012915683191207002
153,Sold,Residential,Rural Residential,2.0,0.0,3.0,1614.0,1.24,2022,143578.767,2.0,88.958343866171,0.6666666666666666,1291.2,0.0018587245432184435
154,Sold,Residential,Rural Residential,1.0,0.0,3.0,1113.0,0.33,2021,155304.428,1.0,139.53677268643307,0.3333333333333333,3273.529411764706,0.0026953935723847944
155,Sold,Residential,Rural Residential,2.0,0.0,3.0,1491.0,5.0,2018,167679.283,2.0,112.4609543930248,0.6666666666666666,297.6047904191617,0.0020120589399132134
156,Sold,Residential,Rural Residential,2.0,0.0,2.0,1428.0,0.66,2023,138524.59,2.0,97.00601540616246,1.0,2131.3432835820895,0.0014005504163136112
157,Sold,Residential,Rural Residential,2.0,0.0,3.0,1547.0,0.48,2020,163759.69,2.0,105.85629605688429,0.6666666666666666,3157.1428571428573,0.0019392246979657534
159,Sold,Residential,Rural Residential,2.0,0.0,4.0,1608.0,0.61,2023,138524.59,2.0,86.1471330845771,0.5,2593.548387096774,0.0024875467192368205
160,Sold,Residential,Rural Residential,2.0,0.0,2.0,1008.0,0.34,2023,140655.738,2.0,139.53942261904763,1.0,2879.9999999999995,0.001984107300522812
161,Sold,Residential,Rural Residential,1.0,1.0,3.0,1250.0,0.29,2024,135759.494,1.5,108.6075952,0.5,4166.666666666667,0.0023999808001535987
162,Sold,Residential,Rural Residential,1.0,1.0,3.0,1348.0,0.45,2024,135759.494,1.5,100.71179080118695,0.5,2930.4347826086955,0.0022255027781693014
163,Sold,Residential,Rural Residential,2.0,0.0,3.0,1134.0,0.31,2024,138844.937,2.0,122.43821604938272,0.6666666666666666,3543.75,0.002645479316760875
164,Sold,Residential,Rural Residential,1.0,1.0,3.0,1160.0,1.07,2024,138844.937,1.5,119.69391120689656,0.5,1074.074074074074,0.0025861846018568804
165,Sold,Residential,Rural Residential,2.0,0.0,3.0,1732.0,0.25,2020,170058.14,2.0,98.18599307159354,0.6666666666666666,6661.538461538461,0.0017320916160992142
